465,102,542,109,540,136,462,129
555,108,652,110,651,136,555,134
401,143,594,152,592,181,400,172
601,152,632,152,632,178,601,178
640,153,714,155,713,182,639,180
360,201,440,201,440,229,360,229
450,206,490,206,490,235,450,235
362,240,442,244,441,268,361,265
450,245,490,245,490,269,450,269
429,287,492,287,492,316,429,316
356,290,419,292,418,315,355,313
511,295,570,295,570,320,511,320
591,296,726,299,726,324,591,321
354,328,435,328,435,355,354,355
453,330,546,335,545,361,452,356
341,508,453,508,453,550,341,550
464,510,573,510,573,552,464,552
587,510,696,513,695,555,585,552
136,591,292,591,292,641,136,641
494,595,651,589,653,642,496,648
762,590,948,594,947,647,761,643
362,594,472,594,472,641,362,641
674,598,739,598,739,641,674,641
